,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10000,2.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,47.0,-15.595,0.0,9.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0
10001,0.0,9.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,41.0,47.0,-20.014999999999997,2.0,9.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0
10002,2.0,9.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,47.0,47.0,-16.729999999999997,0.0,9.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0
10003,0.0,9.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,47.0,-21.515,0.0,7.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,0.0
10004,0.0,7.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,22.0,47.0,-18.814999999999998,0.0,7.0,0.0,1.0,2.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,4.0,1.0,0.0
10005,0.0,7.0,0.0,1.0,2.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,4.0,1.0,28.0,47.0,-19.115,0.0,9.0,0.0,1.0,3.0,7.0,7.0,7.0,2.0,1.0,7.0,7.0,5.0,1.0,0.0
10006,0.0,9.0,0.0,1.0,3.0,7.0,7.0,7.0,2.0,1.0,7.0,7.0,5.0,1.0,44.0,47.0,-26.955,0.0,7.0,0.0,1.0,4.0,8.0,8.0,8.0,3.0,2.0,8.0,8.0,1.0,1.0,0.0
10007,0.0,7.0,0.0,1.0,4.0,8.0,8.0,8.0,3.0,2.0,8.0,8.0,1.0,1.0,36.0,47.0,-24.575,2.0,7.0,0.0,1.0,5.0,9.0,9.0,9.0,4.0,3.0,9.0,1.0,2.0,1.0,0.0
10008,2.0,7.0,0.0,1.0,5.0,9.0,9.0,9.0,4.0,3.0,9.0,1.0,2.0,1.0,34.0,34.0,-11.034999999999998,2.0,5.0,0.0,0.0,6.0,10.0,10.0,10.0,5.0,4.0,1.0,2.0,3.0,2.0,0.0
10009,2.0,5.0,0.0,0.0,6.0,10.0,10.0,10.0,5.0,4.0,1.0,2.0,3.0,2.0,10.0,14.0,-16.924999999999997,2.0,5.0,0.0,0.0,7.0,11.0,1.0,11.0,6.0,5.0,2.0,3.0,4.0,3.0,0.0
10010,2.0,5.0,0.0,0.0,7.0,11.0,1.0,11.0,6.0,5.0,2.0,3.0,4.0,3.0,44.0,34.0,-11.28,2.0,3.0,0.0,0.0,8.0,12.0,2.0,12.0,7.0,6.0,1.0,4.0,1.0,4.0,0.0
10011,2.0,3.0,0.0,0.0,8.0,12.0,2.0,12.0,7.0,6.0,1.0,4.0,1.0,4.0,7.0,47.0,-19.98,0.0,3.0,0.0,0.0,9.0,1.0,3.0,13.0,8.0,7.0,2.0,5.0,2.0,1.0,0.0
10012,0.0,3.0,0.0,0.0,9.0,1.0,3.0,13.0,8.0,7.0,2.0,5.0,2.0,1.0,2.0,17.0,-27.459999999999997,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,9.0,8.0,3.0,6.0,3.0,2.0,0.0
10013,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,9.0,8.0,3.0,6.0,3.0,2.0,20.0,47.0,-24.26,0.0,3.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,9.0,4.0,7.0,4.0,1.0,0.0
