,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10000,7.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,47.0,-5.365,5.0,7.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0
10001,5.0,7.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,10.0,47.0,-4.205,5.0,7.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0
10002,5.0,7.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,10.0,39.0,-9.299999999999999,5.0,7.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,0.0
10003,5.0,7.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,10.0,39.0,-10.1,5.0,7.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,3.0,0.0
10004,5.0,7.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,3.0,10.0,39.0,-10.899999999999999,5.0,7.0,0.0,0.0,6.0,6.0,1.0,6.0,6.0,5.0,6.0,1.0,6.0,4.0,0.0
10005,5.0,7.0,0.0,0.0,6.0,6.0,1.0,6.0,6.0,5.0,6.0,1.0,6.0,4.0,10.0,39.0,-11.7,5.0,7.0,0.0,0.0,7.0,7.0,1.0,7.0,7.0,6.0,7.0,1.0,7.0,5.0,0.0
10006,5.0,7.0,0.0,0.0,7.0,7.0,1.0,7.0,7.0,6.0,7.0,1.0,7.0,5.0,10.0,52.0,-6.71,5.0,7.0,0.0,0.0,8.0,8.0,1.0,8.0,8.0,7.0,8.0,2.0,8.0,6.0,0.0
10007,5.0,7.0,0.0,0.0,8.0,8.0,1.0,8.0,8.0,7.0,8.0,2.0,8.0,6.0,10.0,39.0,-13.299999999999999,5.0,7.0,0.0,0.0,9.0,9.0,1.0,9.0,9.0,8.0,9.0,1.0,9.0,7.0,0.0
10008,5.0,7.0,0.0,0.0,9.0,9.0,1.0,9.0,9.0,8.0,9.0,1.0,9.0,7.0,10.0,52.0,-8.31,5.0,7.0,0.0,0.0,10.0,10.0,1.0,10.0,10.0,9.0,10.0,2.0,10.0,8.0,0.0
10009,5.0,7.0,0.0,0.0,10.0,10.0,1.0,10.0,10.0,9.0,10.0,2.0,10.0,8.0,10.0,52.0,-9.21,5.0,7.0,0.0,0.0,11.0,11.0,1.0,11.0,11.0,10.0,11.0,3.0,11.0,9.0,0.0
10010,5.0,7.0,0.0,0.0,11.0,11.0,1.0,11.0,11.0,10.0,11.0,3.0,11.0,9.0,10.0,52.0,-10.110000000000001,5.0,7.0,0.0,0.0,12.0,12.0,1.0,12.0,12.0,11.0,12.0,4.0,12.0,10.0,0.0
10011,5.0,7.0,0.0,0.0,12.0,12.0,1.0,12.0,12.0,11.0,12.0,4.0,12.0,10.0,10.0,52.0,-11.01,5.0,7.0,0.0,0.0,13.0,13.0,1.0,13.0,13.0,12.0,13.0,5.0,13.0,11.0,0.0
10012,5.0,7.0,0.0,0.0,13.0,13.0,1.0,13.0,13.0,12.0,13.0,5.0,13.0,11.0,10.0,52.0,-11.91,5.0,7.0,0.0,0.0,14.0,14.0,1.0,14.0,14.0,13.0,14.0,6.0,14.0,12.0,0.0
