,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10000,0.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,47.0,-9.085,0.0,5.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0
10001,0.0,5.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,14.0,15.0,-13.504999999999999,0.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0
10002,0.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,14.0,47.0,-15.444999999999997,0.0,1.0,0.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0
10003,0.0,1.0,0.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,52.0,5.0,-11.55,0.0,1.0,0.0,2.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0
10004,0.0,1.0,0.0,2.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,44.0,-15.735,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,6.0,6.0,6.0,1.0,3.0,0.0
10005,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,6.0,6.0,6.0,1.0,3.0,36.0,47.0,-8.86,2.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,7.0,7.0,7.0,1.0,2.0,1.0,0.0
10006,2.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,7.0,7.0,7.0,1.0,2.0,1.0,27.0,22.0,-29.075000000000003,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,1.0,1.0,8.0,2.0,3.0,2.0,0.0
10007,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,1.0,1.0,8.0,2.0,3.0,2.0,17.0,5.0,-17.759999999999998,0.0,0.0,0.0,0.0,4.0,1.0,6.0,1.0,2.0,2.0,9.0,3.0,4.0,3.0,0.0
10008,0.0,0.0,0.0,0.0,4.0,1.0,6.0,1.0,2.0,2.0,9.0,3.0,4.0,3.0,4.0,31.0,-12.809999999999999,0.0,0.0,2.0,0.0,1.0,2.0,7.0,2.0,3.0,3.0,1.0,4.0,5.0,4.0,0.0
10009,0.0,0.0,2.0,0.0,1.0,2.0,7.0,2.0,3.0,3.0,1.0,4.0,5.0,4.0,14.0,5.0,-21.28,0.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,5.0,6.0,5.0,0.0
10010,0.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,5.0,6.0,5.0,3.0,5.0,-10.355,0.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,5.0,5.0,3.0,6.0,7.0,6.0,0.0
10011,0.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,5.0,5.0,3.0,6.0,7.0,6.0,45.0,47.0,-7.5,0.0,2.0,0.0,0.0,2.0,2.0,3.0,5.0,6.0,6.0,4.0,7.0,8.0,1.0,0.0
10012,0.0,2.0,0.0,0.0,2.0,2.0,3.0,5.0,6.0,6.0,4.0,7.0,8.0,1.0,10.0,5.0,-22.879999999999995,0.0,2.0,0.0,0.0,3.0,1.0,1.0,6.0,7.0,7.0,5.0,8.0,9.0,2.0,0.0
10013,0.0,2.0,0.0,0.0,3.0,1.0,1.0,6.0,7.0,7.0,5.0,8.0,9.0,2.0,10.0,43.0,-21.019999999999996,0.0,2.0,0.0,2.0,4.0,2.0,1.0,7.0,8.0,8.0,6.0,9.0,1.0,3.0,0.0
10014,0.0,2.0,0.0,2.0,4.0,2.0,1.0,7.0,8.0,8.0,6.0,9.0,1.0,3.0,16.0,15.0,-10.780000000000001,2.0,2.0,0.0,2.0,5.0,3.0,2.0,1.0,9.0,9.0,7.0,10.0,2.0,4.0,0.0
10015,2.0,2.0,0.0,2.0,5.0,3.0,2.0,1.0,9.0,9.0,7.0,10.0,2.0,4.0,37.0,39.0,-16.98,0.0,2.0,0.0,0.0,6.0,4.0,3.0,2.0,10.0,10.0,8.0,1.0,3.0,5.0,0.0
10016,0.0,2.0,0.0,0.0,6.0,4.0,3.0,2.0,10.0,10.0,8.0,1.0,3.0,5.0,10.0,49.0,-17.18,0.0,2.0,0.0,0.0,7.0,5.0,1.0,3.0,11.0,11.0,9.0,2.0,4.0,1.0,0.0
10017,0.0,2.0,0.0,0.0,7.0,5.0,1.0,3.0,11.0,11.0,9.0,2.0,4.0,1.0,52.0,22.0,-16.925,0.0,2.0,0.0,0.0,8.0,6.0,2.0,4.0,1.0,12.0,10.0,3.0,5.0,2.0,0.0
10018,0.0,2.0,0.0,0.0,8.0,6.0,2.0,4.0,1.0,12.0,10.0,3.0,5.0,2.0,50.0,54.0,-6.3,0.0,2.0,0.0,0.0,9.0,7.0,3.0,5.0,2.0,13.0,11.0,4.0,6.0,3.0,0.0
10019,0.0,2.0,0.0,0.0,9.0,7.0,3.0,5.0,2.0,13.0,11.0,4.0,6.0,3.0,50.0,54.0,-7.3,0.0,2.0,0.0,0.0,10.0,8.0,4.0,6.0,3.0,14.0,12.0,5.0,7.0,4.0,0.0
10020,0.0,2.0,0.0,0.0,10.0,8.0,4.0,6.0,3.0,14.0,12.0,5.0,7.0,4.0,50.0,54.0,-8.3,0.0,2.0,0.0,0.0,11.0,9.0,5.0,7.0,4.0,15.0,13.0,6.0,8.0,5.0,0.0
10021,0.0,2.0,0.0,0.0,11.0,9.0,5.0,7.0,4.0,15.0,13.0,6.0,8.0,5.0,50.0,5.0,-16.77,0.0,2.0,0.0,0.0,12.0,1.0,6.0,8.0,5.0,16.0,14.0,7.0,9.0,6.0,0.0
10022,0.0,2.0,0.0,0.0,12.0,1.0,6.0,8.0,5.0,16.0,14.0,7.0,9.0,6.0,50.0,54.0,-9.4,0.0,2.0,0.0,0.0,13.0,2.0,7.0,9.0,6.0,17.0,15.0,8.0,10.0,7.0,0.0
10023,0.0,2.0,0.0,0.0,13.0,2.0,7.0,9.0,6.0,17.0,15.0,8.0,10.0,7.0,50.0,54.0,-10.4,0.0,2.0,0.0,0.0,14.0,3.0,8.0,10.0,7.0,18.0,16.0,9.0,11.0,8.0,0.0
10024,0.0,2.0,0.0,0.0,14.0,3.0,8.0,10.0,7.0,18.0,16.0,9.0,11.0,8.0,50.0,2.0,-11.705,0.0,2.0,0.0,0.0,1.0,4.0,9.0,11.0,8.0,19.0,17.0,10.0,12.0,9.0,0.0
10025,0.0,2.0,0.0,0.0,1.0,4.0,9.0,11.0,8.0,19.0,17.0,10.0,12.0,9.0,10.0,5.0,-27.679999999999996,0.0,2.0,0.0,0.0,2.0,1.0,1.0,12.0,9.0,20.0,18.0,11.0,13.0,10.0,0.0
10026,0.0,2.0,0.0,0.0,2.0,1.0,1.0,12.0,9.0,20.0,18.0,11.0,13.0,10.0,47.0,31.0,-16.735,0.0,2.0,2.0,0.0,3.0,2.0,2.0,13.0,10.0,21.0,1.0,12.0,14.0,1.0,0.0
10027,0.0,2.0,2.0,0.0,3.0,2.0,2.0,13.0,10.0,21.0,1.0,12.0,14.0,1.0,16.0,35.0,-11.98,2.0,2.0,2.0,0.0,4.0,3.0,3.0,1.0,11.0,22.0,2.0,1.0,15.0,2.0,0.0
10028,2.0,2.0,2.0,0.0,4.0,3.0,3.0,1.0,11.0,22.0,2.0,1.0,15.0,2.0,10.0,22.0,-24.134999999999998,2.0,2.0,0.0,0.0,5.0,4.0,1.0,2.0,1.0,23.0,3.0,2.0,16.0,3.0,0.0
10029,2.0,2.0,0.0,0.0,5.0,4.0,1.0,2.0,1.0,23.0,3.0,2.0,16.0,3.0,40.0,29.0,-21.700000000000003,2.0,2.0,0.0,0.0,6.0,5.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,4.0,0.0
10030,2.0,2.0,0.0,0.0,6.0,5.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,4.0,14.0,52.0,-14.129999999999999,2.0,0.0,0.0,0.0,7.0,6.0,1.0,4.0,3.0,2.0,5.0,4.0,2.0,5.0,0.0
