,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10000,2.0,6.0,1.0,8.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,53.0,17.0,-9.24,2.0,4.0,1.0,9.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0
10001,2.0,4.0,1.0,9.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,44.0,72.0,-5.411666666666667,2.0,2.0,1.0,7.0,0.0,7.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0
10002,2.0,2.0,1.0,7.0,0.0,7.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,14.0,16.0,-8.646666666666667,2.0,0.0,1.0,5.0,2.0,7.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,0.0
10003,2.0,0.0,1.0,5.0,2.0,7.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,54.0,53.0,5.0,-17.705000000000002,2.0,0.0,1.0,7.0,2.0,7.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,0.0
10004,2.0,0.0,1.0,7.0,2.0,7.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,54.0,44.0,42.0,-12.39333333333333,2.0,0.0,1.0,5.0,0.0,7.0,3.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,4.0,0.0
10005,2.0,0.0,1.0,5.0,0.0,7.0,3.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,4.0,54.0,44.0,49.0,-13.479999999999997,2.0,0.0,1.0,3.0,0.0,5.0,4.0,3.0,4.0,4.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,0.0
10006,2.0,0.0,1.0,3.0,0.0,5.0,4.0,3.0,4.0,4.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,54.0,53.0,68.0,-14.876666666666665,2.0,0.0,1.0,5.0,0.0,7.0,5.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,2.0,2.0,1.0,8.0,8.0,1.0,6.0,0.0
10007,2.0,0.0,1.0,5.0,0.0,7.0,5.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,2.0,2.0,1.0,8.0,8.0,1.0,6.0,54.0,44.0,9.0,-22.23,2.0,0.0,1.0,3.0,0.0,5.0,6.0,1.0,6.0,6.0,9.0,9.0,9.0,9.0,1.0,3.0,1.0,9.0,9.0,2.0,7.0,0.0
10008,2.0,0.0,1.0,3.0,0.0,5.0,6.0,1.0,6.0,6.0,9.0,9.0,9.0,9.0,1.0,3.0,1.0,9.0,9.0,2.0,7.0,54.0,38.0,68.0,-20.415,2.0,0.0,1.0,5.0,0.0,7.0,7.0,2.0,7.0,7.0,10.0,10.0,10.0,1.0,2.0,4.0,1.0,10.0,10.0,1.0,8.0,0.0
10009,2.0,0.0,1.0,5.0,0.0,7.0,7.0,2.0,7.0,7.0,10.0,10.0,10.0,1.0,2.0,4.0,1.0,10.0,10.0,1.0,8.0,31.0,44.0,9.0,-23.426666666666666,4.0,0.0,1.0,3.0,0.0,5.0,8.0,1.0,8.0,8.0,11.0,11.0,1.0,2.0,1.0,5.0,2.0,11.0,11.0,2.0,9.0,0.0
