episode,epsilon,steps,global_step,team_return,agent_returns,total_power,total_risk_events,total_movement_distance,final_mean_aoi
1,0.9505,100,600,-1406.072021484375,"[-1406.072021484375, -1406.072021484375]",2.2766872516367584,2,246.81274461746216,7.7
2,0.9406,100,700,-1673.669189453125,"[-1673.669189453125, -1673.669189453125]",2.196674748440273,4,242.7033793926239,8.9
3,0.9307,100,800,-1742.974609375,"[-1742.974609375, -1742.974609375]",2.387898105196655,4,225.14699691534042,6.2
4,0.9208,100,900,-1546.9722900390625,"[-1546.9722900390625, -1546.9722900390625]",2.1334891188307665,3,249.28186917304993,4.7
5,0.9109,100,1000,-1577.95751953125,"[-1577.95751953125, -1577.95751953125]",2.0482302155869547,3,244.74883687496185,10.0
6,0.901,100,1100,-1572.2685546875,"[-1572.2685546875, -1572.2685546875]",2.3906739531084895,1,195.0817322731018,5.7
7,0.8911,100,1200,-1269.11083984375,"[-1269.11083984375, -1269.11083984375]",2.180843452923,0,201.01046067476273,8.3
8,0.8812,100,1300,-1388.89208984375,"[-1388.89208984375, -1388.89208984375]",1.9291689247475006,0,212.3967490196228,12.3
9,0.8713,100,1400,-1331.068115234375,"[-1331.068115234375, -1331.068115234375]",1.8322705430909991,0,213.28351771831512,12.8
10,0.8613999999999999,100,1500,-1451.040771484375,"[-1451.040771484375, -1451.040771484375]",1.6417631128570065,0,214.6453741788864,10.7
11,0.8515,100,1600,-2891.328369140625,"[-2891.328369140625, -2891.328369140625]",1.6657145012868568,2,245.9616870880127,22.7
12,0.8416,100,1700,-3110.651123046875,"[-3110.651123046875, -3110.651123046875]",2.4654075235594064,2,210.93225371837616,29.0
13,0.8317,100,1800,-3312.809814453125,"[-3312.809814453125, -3312.809814453125]",1.592441417160444,2,232.79165756702423,40.5
14,0.8218,100,1900,-2437.865966796875,"[-2437.865966796875, -2437.865966796875]",1.547865297878161,0,215.82574962079525,44.7
15,0.8119000000000001,100,2000,-3131.564208984375,"[-3131.564208984375, -3131.564208984375]",1.302660235320218,2,233.00197356939316,30.6
16,0.802,100,2100,-3087.382568359375,"[-3087.382568359375, -3087.382568359375]",1.5791296810493805,0,207.59618002176285,40.1
17,0.7921,100,2200,-2885.5390625,"[-2885.5390625, -2885.5390625]",1.0553572642384097,0,227.7075863480568,39.9
18,0.7822,100,2300,-2918.90087890625,"[-2918.90087890625, -2918.90087890625]",1.166000132157933,0,221.14488983154297,39.5
19,0.7723,100,2400,-3012.161865234375,"[-3012.161865234375, -3012.161865234375]",1.6206487603485584,0,194.19392943382263,50.0
20,0.7624,100,2500,-3672.34521484375,"[-3672.34521484375, -3672.34521484375]",1.360182172851637,2,211.2271490097046,59.6
21,0.7525,100,2600,-3625.40673828125,"[-3625.40673828125, -3625.40673828125]",1.2852263841195963,2,226.71809822320938,36.5
22,0.7425999999999999,100,2700,-3114.468505859375,"[-3114.468505859375, -3114.468505859375]",1.3558778540464118,0,191.59634771943092,51.3
23,0.7326999999999999,100,2800,-3337.9580078125,"[-3337.9580078125, -3337.9580078125]",1.6082330385688692,1,204.20342391729355,48.6
24,0.7228,100,2900,-3273.6904296875,"[-3273.6904296875, -3273.6904296875]",1.5151613568305038,2,230.22992393374443,43.5
25,0.7129000000000001,100,3000,-3095.46728515625,"[-3095.46728515625, -3095.46728515625]",1.013870346127078,1,214.99321648478508,42.5
26,0.7030000000000001,100,3100,-2888.4140625,"[-2888.4140625, -2888.4140625]",1.5900531779043376,0,196.7602657675743,38.0
27,0.6931,100,3200,-3374.009033203125,"[-3374.009033203125, -3374.009033203125]",1.2652376170735806,1,193.66326466202736,39.4
28,0.6832,100,3300,-3375.615966796875,"[-3375.615966796875, -3375.615966796875]",1.6712647732929327,3,217.0484915971756,42.6
29,0.6733,100,3400,-2878.11669921875,"[-2878.11669921875, -2878.11669921875]",1.2204676425317302,1,205.62969574332237,35.9
30,0.6634,100,3500,-2831.322998046875,"[-2831.322998046875, -2831.322998046875]",1.738893068919424,0,206.67568001151085,36.3
31,0.6535,100,3600,-3082.57421875,"[-3082.57421875, -3082.57421875]",1.564696243032813,2,198.36837363243103,25.8
32,0.6436,100,3700,-2529.90283203125,"[-2529.90283203125, -2529.90283203125]",1.6016133418306708,0,214.71663988381624,27.4
33,0.6336999999999999,100,3800,-2907.82958984375,"[-2907.82958984375, -2907.82958984375]",1.1801210766716395,2,212.12932741641998,35.3
34,0.6238,100,3900,-3145.4248046875,"[-3145.4248046875, -3145.4248046875]",1.5732999973115511,3,217.16981802880764,42.0
35,0.6139,100,4000,-2767.28076171875,"[-2767.28076171875, -2767.28076171875]",1.7027221135795116,1,206.23696680366993,40.5
36,0.604,100,4100,-2889.13623046875,"[-2889.13623046875, -2889.13623046875]",1.3861466469243169,2,210.61000394821167,34.8
37,0.5941000000000001,100,4200,-2343.17333984375,"[-2343.17333984375, -2343.17333984375]",1.6962930369190872,1,207.06787967681885,30.2
38,0.5842,100,4300,-2651.493896484375,"[-2651.493896484375, -2651.493896484375]",1.6131766733597033,0,220.62000143527985,26.8
39,0.5743,100,4400,-2463.378173828125,"[-2463.378173828125, -2463.378173828125]",1.5755115931970067,0,209.16687327623367,41.7
40,0.5644,100,4500,-2772.9189453125,"[-2772.9189453125, -2772.9189453125]",1.7124730651266873,0,198.91000717878342,34.3
41,0.5545,100,4600,-2554.993408203125,"[-2554.993408203125, -2554.993408203125]",1.619574055308476,0,191.89326955378056,38.2
42,0.5446,100,4700,-2622.4931640625,"[-2622.4931640625, -2622.4931640625]",1.7375743824522942,1,212.10701656341553,37.8
43,0.5347,100,4800,-3052.43310546875,"[-3052.43310546875, -3052.43310546875]",1.8693322470062412,3,176.65623104572296,34.8
44,0.5248,100,4900,-2888.72412109375,"[-2888.72412109375, -2888.72412109375]",2.049695430556312,2,173.80942595005035,36.4
45,0.5149,100,5000,-2712.017333984375,"[-2712.017333984375, -2712.017333984375]",2.082068870397052,0,182.2310426235199,34.9
46,0.505,100,5100,-2803.489990234375,"[-2803.489990234375, -2803.489990234375]",2.081160035915673,2,169.46316626667976,31.4
47,0.4951,100,5200,-2413.911376953125,"[-2413.911376953125, -2413.911376953125]",1.5596434890758246,0,182.25655853748322,34.3
48,0.48519999999999996,100,5300,-2517.884765625,"[-2517.884765625, -2517.884765625]",1.4679391505487729,0,194.7904043495655,34.5
