episode,epsilon,steps,global_step,team_return,shaped_team_return,agent_returns,shaped_agent_returns,total_power,total_risk_events,total_movement_distance,total_wasted_move,total_goal_completions,final_mean_aoi
1,0.9505,100,600,-1652.834716796875,-1664.51611328125,"[-1933.392578125, -1372.2769775390625]","[-1941.1396484375, -1387.8927001953125]",2.1085384456673637,4,244.12271982431412,58.63896582861808,11,8.3
2,0.9406,100,700,-1203.712646484375,-1216.820068359375,"[-1173.66064453125, -1233.7646484375]","[-1197.94189453125, -1235.6983642578125]",1.9460502573347185,1,217.69434684515,98.86988102122821,16,9.7
3,0.9307,100,800,-1139.853271484375,-1163.494384765625,"[-1175.256591796875, -1104.4498291015625]","[-1207.36669921875, -1119.6220703125]",2.2110133909154683,0,180.76907867193222,114.50592292962037,12,7.9
4,0.9208,100,900,-1089.022705078125,-1118.002685546875,"[-1137.132080078125, -1040.913330078125]","[-1172.150390625, -1063.8548583984375]",2.003690593293868,0,171.6203723922372,137.14765242912807,15,6.4
5,0.9109,100,1000,-1133.74365234375,-1156.45654296875,"[-1123.217041015625, -1144.2703857421875]","[-1155.8052978515625, -1157.1077880859375]",1.6045743172289804,0,178.36413457989693,124.71131581124084,19,8.4
6,0.901,100,1100,-1095.740478515625,-1126.93603515625,"[-1052.146728515625, -1139.3343505859375]","[-1089.599365234375, -1164.2725830078125]",1.4725624278362375,0,154.58800411224365,150.7703843363234,9,9.2
7,0.8911,100,1200,-1382.2113037109375,-1408.378173828125,"[-1188.99609375, -1575.426513671875]","[-1222.2960205078125, -1594.4603271484375]",1.5416453869547695,1,186.28409299254417,126.0596945521911,12,12.3
8,0.8812,100,1300,-2075.103759765625,-2117.622314453125,"[-2265.013427734375, -1885.1939697265625]","[-2311.2294921875, -1924.01513671875]",1.351613619364798,2,175.8878084719181,162.64492374594857,5,18.6
9,0.8713,100,1400,-2266.828857421875,-2293.27978515625,"[-1956.2373046875, -2577.42041015625]","[-1994.96533203125, -2591.594482421875]",1.0245146690285765,4,198.12558811903,115.03669705499792,9,19.2
10,0.8613999999999999,100,1500,-2104.9814453125,-2119.940185546875,"[-1946.9638671875, -2262.998779296875]","[-1971.4808349609375, -2268.399658203125]",0.49592498075799085,3,218.6912063062191,86.01539786772558,6,26.4
11,0.8515,100,1600,-2571.68994140625,-2601.54150390625,"[-2465.275146484375, -2678.1044921875]","[-2498.11181640625, -2704.971435546875]",0.6407571784802713,0,193.90825620293617,133.025071263175,3,41.3
12,0.8416,100,1700,-3438.84765625,-3473.72802734375,"[-3105.513427734375, -3772.181640625]","[-3164.147705078125, -3783.30859375]",0.363794844946824,2,201.15220841765404,136.60270148143246,1,49.1
13,0.8317,100,1800,-3415.71533203125,-3445.3251953125,"[-3373.3916015625, -3458.0390625]","[-3420.564453125, -3470.086181640625]",0.21126498759258538,0,211.076966881752,124.70855293137959,0,62.8
14,0.8218,100,1900,-3751.57470703125,-3776.315185546875,"[-3573.10888671875, -3930.04052734375]","[-3607.037109375, -3945.59326171875]",0.16470622981432825,1,217.13260640203953,113.3796451110652,1,71.5
15,0.8119000000000001,100,2000,-3869.00244140625,-3895.4072265625,"[-3690.26123046875, -4047.743896484375]","[-3733.330810546875, -4057.4833984375]",0.1876168317394331,3,214.89065685868263,110.44629243796136,1,55.0
16,0.802,100,2100,-3894.27490234375,-3924.114990234375,"[-3876.556396484375, -3911.9931640625]","[-3911.908935546875, -3936.321044921875]",0.12870030029444024,0,200.93830275535583,113.05364756648078,3,51.6
17,0.7921,100,2200,-4614.95849609375,-4650.3076171875,"[-4600.70068359375, -4629.21630859375]","[-4639.259765625, -4661.35546875]",0.057031855918467045,0,196.20498889684677,130.715572559796,0,77.6
18,0.7822,100,2300,-4837.4990234375,-4876.810546875,"[-4835.5, -4839.49853515625]","[-4885.98095703125, -4867.640625]",0.007997384294867516,0,195.1006431877613,149.60131068111673,0,94.8
19,0.7723,100,2400,-4940.69921875,-4968.02685546875,"[-5228.40087890625, -4652.9970703125]","[-5256.79296875, -4679.2607421875]",0.049196502775885165,2,201.6892580538988,103.47977954365409,0,93.0
20,0.7624,100,2500,-4946.9951171875,-4979.140625,"[-4944.69970703125, -4949.2900390625]","[-4982.50146484375, -4975.779296875]",0.009180954657495022,0,189.52547678351402,128.37062493645874,0,97.3
21,0.7525,100,2600,-4556.95458984375,-4584.765625,"[-4553.29931640625, -4560.60986328125]","[-4577.60107421875, -4591.9306640625]",0.01462057011667639,0,214.87461617588997,109.41791682471634,0,81.2
22,0.7425999999999999,100,2700,-4648.85107421875,-4686.8505859375,"[-4649.7509765625, -4647.951171875]","[-4698.095703125, -4675.60546875]",0.0049948314554058015,0,171.1208731085062,154.73584859529865,1,91.3
23,0.7326999999999999,100,2800,-4941.1875,-4977.109375,"[-4936.09716796875, -4946.2783203125]","[-4972.94921875, -4981.27001953125]",0.020362213253974915,0,175.30768021941185,138.65345415018166,0,93.0
24,0.7228,100,2900,-4715.9443359375,-4747.7861328125,"[-4858.302734375, -4573.5859375]","[-4894.65478515625, -4600.91796875]",0.03056761110201478,1,183.62035235762596,129.3063145919682,0,85.3
25,0.7129000000000001,100,3000,-4899.15478515625,-4932.32861328125,"[-4898.30322265625, -4900.00634765625]","[-4935.76416015625, -4928.89306640625]",0.003406804520636797,0,195.93808686733246,124.43192817164162,0,95.7
26,0.7030000000000001,100,3100,-4933.767578125,-4958.2421875,"[-4932.302734375, -4935.23291015625]","[-4949.16162109375, -4967.3232421875]",0.005861669313162565,0,198.2939169704914,113.18269922916956,1,91.7
27,0.6931,100,3200,-5299.0,-5330.3583984375,"[-5449.0, -5149.0]","[-5483.01513671875, -5177.70166015625]",0.0,1,188.97932347655296,125.85010301928156,0,100.0
28,0.6832,100,3300,-5094.609375,-5119.376953125,"[-5092.10009765625, -5097.1181640625]","[-5112.74462890625, -5126.009765625]",0.01003654208034277,0,190.2416042238474,108.76708242066704,0,90.6
29,0.6733,100,3400,-4859.2080078125,-4892.0185546875,"[-4853.40087890625, -4865.0146484375]","[-4888.0693359375, -4895.96826171875]",0.023227474885061383,0,171.95681643486023,132.92472148236646,1,95.5
30,0.6634,100,3500,-4956.6279296875,-4985.32421875,"[-4954.09765625, -4959.15869140625]","[-4985.01123046875, -4985.63671875]",0.01012266892939806,0,208.03014901280403,100.44600406772598,0,97.5
31,0.6535,100,3600,-4711.4375,-4743.79638671875,"[-4703.1005859375, -4719.7744140625]","[-4719.55029296875, -4768.04248046875]",0.033347410848364234,0,203.74433702230453,124.55550590824333,0,81.7
32,0.6436,100,3700,-5200.6875,-5229.7119140625,"[-5499.70068359375, -4901.673828125]","[-5521.00146484375, -4938.42236328125]",0.0039499434642493725,2,215.8551269173622,105.4570947567338,0,95.8
33,0.6336999999999999,100,3800,-5346.21142578125,-5367.87646484375,"[-5642.30126953125, -5050.12158203125]","[-5648.78662109375, -5086.96630859375]",0.01564141921699047,2,211.6684689372778,87.35189939195982,0,91.2
34,0.6238,100,3900,-5055.9521484375,-5076.63671875,"[-5201.3037109375, -4910.60009765625]","[-5214.904296875, -4938.36962890625]",0.018592651933431625,1,220.97055459022522,80.14662490446091,0,94.2
35,0.6139,100,4000,-5236.5107421875,-5251.9287109375,"[-5536.09716796875, -4936.92431640625]","[-5543.40625, -4960.451171875]",0.0016542638186365366,2,236.7232859134674,63.988906043064446,0,93.0
36,0.604,100,4100,-5166.669921875,-5194.3955078125,"[-5313.10009765625, -5020.2392578125]","[-5334.22705078125, -5054.5634765625]",0.014278227463364601,1,217.38466161489487,93.81032955488364,0,91.6
